Player,Rating,Deviation,Games,Win,Draw,Loss,Lag
Back to the Future,2064.7209941785,254.900258109586,1,0,0,1,1436912849.41861
Fight Club,2335.2790058215,254.900258109586,1,1,0,0,1436912849.41861
Forrest Gump,2064.7209941785,254.900258109586,1,0,0,1,1436912849.41861
Pulp Fiction,2200,300,0,0,0,0,1436912475
Raiders of the Lost Ark,2200,300,0,0,0,0,1436912475
Star Wars,2335.2790058215,254.900258109586,1,1,0,0,1436912849.41861
The Dark Knight,1988.89979778833,225.156454143286,2,0,0,2,1436912849.41861
The Matrix,2064.7209941785,254.900258109586,1,0,0,1,1436912849.41861
The Shawshank Redemption,2411.10020221167,225.156454143286,2,2,0,0,1436912849.41861
The Terminator,2335.2790058215,254.900258109586,1,1,0,0,1436912849.41861
